[train_onemodel - 2018-11-29 01:14:03,518 - INFO] at epoch:  18, under eval mode, labeled_data dice: 0.822 
[train_onemodel - 2018-11-29 01:14:15,485 - INFO] at epoch:  18, under eval mode, unlabeled_data dice: 0.818 
[train_onemodel - 2018-11-29 01:14:17,548 - INFO] at epoch:  18, under eval mode, val_data dice: 0.809 
[train_onemodel - 2018-11-29 01:14:31,317 - INFO] at epoch:  19, under train mode, labeled_data dice: 0.843 
[train_onemodel - 2018-11-29 01:14:44,652 - INFO] at epoch:  19, under train mode, unlabeled_data dice: 0.819 
[train_onemodel - 2018-11-29 01:14:46,912 - INFO] at epoch:  19, under train mode, val_data dice: 0.817 
[train_onemodel - 2018-11-29 01:14:50,045 - INFO] at epoch:  19, under eval mode, labeled_data dice: 0.840 
[train_onemodel - 2018-11-29 01:15:01,774 - INFO] at epoch:  19, under eval mode, unlabeled_data dice: 0.825 
[train_onemodel - 2018-11-29 01:15:03,834 - INFO] at epoch:  19, under eval mode, val_data dice: 0.813 
[train_onemodel - 2018-11-29 01:15:17,715 - INFO] at epoch:  20, under train mode, labeled_data dice: 0.813 
[train_onemodel - 2018-11-29 01:15:30,953 - INFO] at epoch:  20, under train mode, unlabeled_data dice: 0.801 
[train_onemodel - 2018-11-29 01:15:33,208 - INFO] at epoch:  20, under train mode, val_data dice: 0.801 
[train_onemodel - 2018-11-29 01:15:36,268 - INFO] at epoch:  20, under eval mode, labeled_data dice: 0.770 
[train_onemodel - 2018-11-29 01:15:48,241 - INFO] at epoch:  20, under eval mode, unlabeled_data dice: 0.773 
[train_onemodel - 2018-11-29 01:15:50,355 - INFO] at epoch:  20, under eval mode, val_data dice: 0.770 
[train_onemodel - 2018-11-29 01:16:04,121 - INFO] at epoch:  21, under train mode, labeled_data dice: 0.842 
[train_onemodel - 2018-11-29 01:16:17,243 - INFO] at epoch:  21, under train mode, unlabeled_data dice: 0.830 
[train_onemodel - 2018-11-29 01:16:19,504 - INFO] at epoch:  21, under train mode, val_data dice: 0.825 
[train_onemodel - 2018-11-29 01:16:22,554 - INFO] at epoch:  21, under eval mode, labeled_data dice: 0.845 
[train_onemodel - 2018-11-29 01:16:34,365 - INFO] at epoch:  21, under eval mode, unlabeled_data dice: 0.834 
[train_onemodel - 2018-11-29 01:16:36,459 - INFO] at epoch:  21, under eval mode, val_data dice: 0.821 
[train_onemodel - 2018-11-29 01:16:50,559 - INFO] at epoch:  22, under train mode, labeled_data dice: 0.850 
[train_onemodel - 2018-11-29 01:17:03,551 - INFO] at epoch:  22, under train mode, unlabeled_data dice: 0.821 
[train_onemodel - 2018-11-29 01:17:05,929 - INFO] at epoch:  22, under train mode, val_data dice: 0.823 
[train_onemodel - 2018-11-29 01:17:09,111 - INFO] at epoch:  22, under eval mode, labeled_data dice: 0.850 
[train_onemodel - 2018-11-29 01:17:21,076 - INFO] at epoch:  22, under eval mode, unlabeled_data dice: 0.825 
[train_onemodel - 2018-11-29 01:17:23,175 - INFO] at epoch:  22, under eval mode, val_data dice: 0.824 
[train_onemodel - 2018-11-29 01:17:37,164 - INFO] at epoch:  23, under train mode, labeled_data dice: 0.844 
[train_onemodel - 2018-11-29 01:17:50,360 - INFO] at epoch:  23, under train mode, unlabeled_data dice: 0.809 
[train_onemodel - 2018-11-29 01:17:52,587 - INFO] at epoch:  23, under train mode, val_data dice: 0.814 
